paese,isrc,uri,danceability,energy,speechiness,acousticness,instrumentalness,valence,tempo;;;;;;;;;;;;;;;;;,all_genres
"Belgio,USSM12401865,spotify:track:0AjmK0Eai4zGrLaJwPvrDp,""['irish singer-songwriter', 'modern rock', 'pov: indie']"",0.741,0.62,0.0412,0.0295,0.000809,0.934,117.038;;;;;;;;;;;;;;;;;",,,,,,,,,,
Belgio,NL4TG2400001,spotify:track:0uHrMbMv3c78398pIANDqR,0.708,0.943,0.158,0.168,0.000604,0.5,160.091;;;;;;;;;;;;;;;;;,lustrum
Belgio,USUG12401034,spotify:track:3fO566xJgwxIa3qGCGBvIC,0.303,0.489,0.0443,0.621,0.0,0.325,77.403;;;;;;;;;;;;;;;;;,pop
Belgio,USUG12401036,spotify:track:0W0iAC1VGlB82PI6elxFYf,0.625,0.421,0.0265,0.614,0.0,0.435,94.977;;;;;;;;;;;;;;;;;,pop
"Belgio,GBKPL2205058,spotify:track:3qhlB30KknSejmIvZZLjOD,""['pov: indie', 'psychedelic pop']"",0.689,0.454,0.0584,0.0351,0.00259,0.912,159.982;;;;;;;;;;;;;;;;;",,,,,,,,,,
Belgio,USWB12302315,spotify:track:17phhZDn6oGtzMe56NuWvj,0.561,0.604,0.0337,0.199,1.9e-05,0.242,159.92;;;;;;;;;;;;;;;;;,
Belgio,GBCEN2300147,spotify:track:59NraMJsLaMCVtwXTSia8i,0.638,0.717,0.0375,0.001,1.79e-06,0.422,141.904;;;;;;;;;;;;;;;;;,hypertechno
Belgio,USUG12401039,spotify:track:6RSG1dKPV5gEvILwJb4QtS,0.613,0.262,0.0385,0.866,0.0,0.197,97.92;;;;;;;;;;;;;;;;;,pop
Belgio,QM24S2400638,spotify:track:5uQ7de4EWjb3rkcFxyEOpu,0.646,0.668,0.0282,0.491,0.0,0.64,90.969;;;;;;;;;;;;;;;;;,singer-songwriter pop
Belgio,NLZ542301810,spotify:track:0h3Xy4V4apMraB5NuM8U7Z,0.875,0.518,0.0551,0.0638,0.00995,0.37,126.089;;;;;;;;;;;;;;;;;,
Belgio,USRC12301932,spotify:track:3rUGC1vUpkDG9CZFHMur1t,0.75,0.733,0.0319,0.256,0.0,0.844,111.018;;;;;;;;;;;;;;;;;,pop
"Bielorussia,RUAGV2401222,spotify:track:527D034h8WFtVDOBO6GAN5,""['russian hip hop', 'russian trap']"",0.765,0.675,0.0298,0.00599,9.95e-05,0.735,120.034;;;;;;;;;;;;;;;;;",,,,,,,,,,
Bielorussia,RUACR2400100,spotify:track:2PXxdh7WHZAlONZW8P3H2h,0.861,0.441,0.18,0.108,0.0,0.693,130.069;;;;;;;;;;;;;;;;;,
Bielorussia,TCAGG2298960,spotify:track:4CvrZAA0I1rG4tlvwYydi4,0.8,0.753,0.0362,0.353,0.75,0.63,126.977;;;;;;;;;;;;;;;;;,belarusian indie
