Country,Track Name,Artists
BB,Unwritten,Natasha Bedingfield
BB,The Night We Met,Lord Huron
BB,Houdini,Dua Lipa
BB,Training Season,Dua Lipa
BB,Scared To Start,Michael Marcagi
BB,Seven (feat. Latto) (Explicit Ver.),"Jung Kook, Latto"
BB,I Remember Everything (feat. Kacey Musgraves),"Zach Bryan, Kacey Musgraves"
BB,Water,Tyla
BB,PERRO NEGRO,"Bad Bunny, Feid"
BB,La Víctima,Xavi
BB,Strangers,Kenya Grace
BB,"What Was I Made For? [From The Motion Picture ""Barbie""]",Billie Eilish
BB,Whatever She Wants,Bryson Tiller
BB,Starboy,"The Weeknd, Daft Punk"
BB,Like Crazy,Jimin
BB,Praise Jah In The Moonlight,YG Marley
BB,Lan,Zeynep Bastık
BB,QLONA,"KAROL G, Peso Pluma"
BB,bye,Ariana Grande
BB,eternal sunshine,Ariana Grande
BB,Standing Next to You,Jung Kook
BB,Flowers,Miley Cyrus
BB,intro (end of the world),Ariana Grande
BB,Popular (with Playboi Carti & Madonna),"The Weeknd, Playboi Carti, Madonna"
BB,Evergreen,Richy Mitch & The Coal Miners
BB,Austin,Dasha
BB,Mtg Quero Te Encontrar,"DJ JZ, Humberto & Ronaldo, Mc Mininin, Silvanno Salles, DJ LG PROD"
BB,End of Beginning,Djo
BB,smoke & a light,Ole 60
BB,She Know What She Wanted - Jersey Club Remix Slowed,"Godard, Ziahfyah"
BB,Maquillaje,"Renn, Yexel"
BB,Austin,Dasha
BB,Leaving the Lot,King Hendrick$
BB,Можно я с тобой,AP$ENT
BB,SC-9,Yahir Saldivar
BB,Kennedy'i Ben Vurdum,Wegh
BB,Blue Over You,Mason Ramsey
BB,Beautiful Things,Benson Boone
BB,✻H+3+ЯД✻7luCJIo0T6...,vyrval
BB,Tu és + Águas Purificadoras - Ao vivo,"fhop music, Débora Rabelo, Hamilton Rabelo"
BB,Wine Into Whiskey,Tucker Wetmore
BB,"Tshwala Bam (feat. S.N.E, EeQue)","TitoM, Yuppe, EeQue, S.N.E"
BB,Europapa,Joost
BB,Sadqay,"Aashir Wajahat, NAYEL, Nehaal Naseem"
BB,Gata Only,"FloyyMenor, Cris Mj"
BB,EL MATADOR (From the Netflix Rap Show “Nuova Scena”),Elmatadormc7
